股票名字;日期;<1万买;<1万卖;1万~2万买;1万~2万卖;2万~3万买;2万~3万卖;3万~4万买;3万~4万卖;4万~5万买;4万~5万卖;5万~6万买;5万~6万卖;6万~7万买;6万~7万卖;7万~8万买;7万~8万卖;8万~9万买;8万~9万卖;9万~10万买;9万~10万卖;10万~20万买;10万~20万卖;20万~30万买;20万~30万卖;30万~40万买;30万~40万卖;40万~50万买;40万~50万卖;50万~60万买;50万~60万卖;60万~70万买;60万~70万卖;70万~80万买;70万~80万卖;80万~90万买;80万~90万卖;90万~100万买;90万~100万卖;>100万买;>100万卖
000005.SZ;20160401;39228616;64729994;6466663;11145967;1846600;5996200;1146600;2271493;1857282;603512;0;1752100;0;0;0;0;560000;0;0;0;0;700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160405;134401554;82869843;27402305;14140112;9710764;4976664;5051851;2606261;1868006;1280909;2586500;2243927;452200;485800;1052800;0;1166200;584500;0;0;1556800;700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160406;102385754;114721445;19138381;18487374;8664712;6530101;2876325;4725561;2005700;1228584;2705000;1477576;929600;422793;0;559300;569100;648568;0;724000;3327300;0;1817200;0;2100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160407;146211696;141268467;30958446;28942442;15358128;10429942;7847470;6771380;4275734;1933828;5157837;2797200;498400;1409000;0;1039493;1159200;1380000;2264000;0;5460450;2819128;1559600;1739465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160408;141961005;119996974;31537615;24230385;9434730;8673545;6253884;3186400;2284900;2824300;5979700;2150000;959900;939400;994700;0;597800;0;775200;1302854;700000;1980800;0;1400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
000005.SZ;20160410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
